amplitude,n,type,MSE,MAPE
0.0,89,classical,inf,inf
0.0,90,abstract,inf,inf
0.0,90,classical,inf,inf
0.0,91,abstract,inf,inf
0.0,91,classical,inf,inf
0.0,92,abstract,inf,inf
0.0,92,classical,inf,inf
0.0,93,abstract,inf,inf
0.0,93,classical,inf,inf
0.0,94,abstract,inf,inf
0.0,94,classical,inf,inf
0.0,95,abstract,inf,inf
0.0,95,classical,inf,inf
0.0,96,abstract,inf,inf
0.0,96,classical,inf,inf
0.0,97,abstract,inf,inf
0.0,97,classical,inf,inf
0.0,98,abstract,inf,inf
0.0,98,classical,inf,inf
0.0,99,abstract,inf,inf
0.0,99,classical,inf,inf
0.01,0,abstract,0.14387682958722822,44.22192443106022
0.01,0,classical,inf,inf
0.01,1,abstract,0.14420022724851977,44.22150334934784
0.01,1,classical,inf,inf
0.01,2,abstract,0.14413586541956813,44.22745137740249
0.01,2,classical,inf,inf
0.01,3,abstract,0.14408216497609352,44.22291672817765
0.01,3,classical,inf,inf
0.01,4,abstract,0.14396173720030722,44.216778577542314
0.01,4,classical,inf,inf
0.01,5,abstract,0.14403706863526025,44.230943340428304
0.01,5,classical,inf,inf
0.01,6,abstract,0.14391717665839782,44.23200622999082
0.01,6,classical,inf,inf
0.01,7,abstract,0.14395689596243294,44.22068724975668
0.01,7,classical,inf,inf
0.01,8,abstract,0.1441224352503901,44.21962315500825
0.01,8,classical,inf,inf
0.01,9,abstract,0.14431086774535176,44.22725172792533
0.01,9,classical,inf,inf
0.01,10,abstract,0.14394682737014158,44.21565491486236
0.01,10,classical,inf,inf
0.01,11,abstract,0.1439724080817859,44.22217887058416
0.01,11,classical,inf,inf
0.01,12,abstract,0.14437529658624595,44.22005978318055
0.01,12,classical,inf,inf
0.01,13,abstract,0.14401261186118858,44.22058932681372
0.01,13,classical,inf,inf
0.01,14,abstract,0.1437767292661209,44.220945281142505
0.01,14,classical,inf,inf
0.01,15,abstract,0.14371010735752224,44.22447385269733
0.01,15,classical,inf,inf
0.01,16,abstract,0.14383150732622638,44.22722203486828
0.01,16,classical,inf,inf
0.01,17,abstract,0.14407479510050109,44.21495570799563
0.01,17,classical,inf,inf
0.01,18,abstract,0.14397069678285349,44.233178099570985
0.01,18,classical,inf,inf
0.01,19,abstract,0.14409744370967295,44.22823466848084
0.01,19,classical,inf,inf
0.01,20,abstract,0.14391281287629568,44.22384413301925
0.01,20,classical,inf,inf
0.01,21,abstract,0.1437870134032753,44.22222157283654
0.01,21,classical,inf,inf
0.01,22,abstract,0.14428655374122906,44.218678576555696
0.01,22,classical,inf,inf
0.01,23,abstract,0.14426162939450068,44.2264959545235
0.01,23,classical,inf,inf
0.01,24,abstract,0.14372112749620178,44.218946223929386
0.01,24,classical,inf,inf
0.01,25,abstract,0.14386559077017383,44.21415438823115
0.01,25,classical,inf,inf
0.01,26,abstract,0.1439706475550603,44.22248182722945
0.01,26,classical,inf,inf
0.01,27,abstract,0.1442294227903287,44.21985258367354
0.01,27,classical,inf,inf
0.01,28,abstract,0.1441475347788263,44.22026990444766
0.01,28,classical,inf,inf
0.01,29,abstract,0.14384107819166006,44.21955465442692
0.01,29,classical,inf,inf
0.01,30,abstract,0.1438725720907942,44.2266010693243
0.01,30,classical,inf,inf
0.01,31,abstract,0.1436479007924184,44.22570390296528
0.01,31,classical,inf,inf
0.01,32,abstract,0.1441728443267572,44.21766321991445
0.01,32,classical,inf,inf
0.01,33,abstract,0.14407359264705039,44.21866629793287
0.01,33,classical,inf,inf
0.01,34,abstract,0.14407129634243615,44.21822758485853
0.01,34,classical,inf,inf
0.01,35,abstract,0.144126788532125,44.222580044071854
0.01,35,classical,inf,inf
