amplitude,n,type,MSE,MAPE
0.0,0,abstract,0.16865928773660557,106.02119591024002
0.0,0,classical,0.26513728383107243,134.44803385413522
0.0,1,abstract,0.16865928773660557,106.02119591024002
0.0,1,classical,0.26513728383107243,134.44803385413522
0.0,2,abstract,0.16865928773660557,106.02119591024002
0.0,2,classical,0.26513728383107243,134.44803385413522
0.0,3,abstract,0.16865928773660557,106.02119591024002
0.0,3,classical,0.26513728383107243,134.44803385413522
0.0,4,abstract,0.16865928773660557,106.02119591024002
0.0,4,classical,0.26513728383107243,134.44803385413522
0.0,5,abstract,0.16865928773660557,106.02119591024002
0.0,5,classical,0.26513728383107243,134.44803385413522
0.0,6,abstract,0.16865928773660557,106.02119591024002
0.0,6,classical,0.26513728383107243,134.44803385413522
0.0,7,abstract,0.16865928773660557,106.02119591024002
0.0,7,classical,0.26513728383107243,134.44803385413522
0.0,8,abstract,0.16865928773660557,106.02119591024002
0.0,8,classical,0.26513728383107243,134.44803385413522
0.0,9,abstract,0.16865928773660557,106.02119591024002
0.0,9,classical,0.26513728383107243,134.44803385413522
0.0,10,abstract,0.16865928773660557,106.02119591024002
0.0,10,classical,0.26513728383107243,134.44803385413522
0.0,11,abstract,0.16865928773660557,106.02119591024002
0.0,11,classical,0.26513728383107243,134.44803385413522
0.0,12,abstract,0.16865928773660557,106.02119591024002
0.0,12,classical,0.26513728383107243,134.44803385413522
0.0,13,abstract,0.16865928773660557,106.02119591024002
0.0,13,classical,0.26513728383107243,134.44803385413522
0.0,14,abstract,0.16865928773660557,106.02119591024002
0.0,14,classical,0.26513728383107243,134.44803385413522
0.0,15,abstract,0.16865928773660557,106.02119591024002
0.0,15,classical,0.26513728383107243,134.44803385413522
0.0,16,abstract,0.16865928773660557,106.02119591024002
0.0,16,classical,0.26513728383107243,134.44803385413522
0.0,17,abstract,0.16865928773660557,106.02119591024002
0.0,17,classical,0.26513728383107243,134.44803385413522
0.0,18,abstract,0.16865928773660557,106.02119591024002
0.0,18,classical,0.26513728383107243,134.44803385413522
0.0,19,abstract,0.16865928773660557,106.02119591024002
0.0,19,classical,0.26513728383107243,134.44803385413522
0.0,20,abstract,0.16865928773660557,106.02119591024002
0.0,20,classical,0.26513728383107243,134.44803385413522
0.0,21,abstract,0.16865928773660557,106.02119591024002
0.0,21,classical,0.26513728383107243,134.44803385413522
0.0,22,abstract,0.16865928773660557,106.02119591024002
0.0,22,classical,0.26513728383107243,134.44803385413522
0.0,23,abstract,0.16865928773660557,106.02119591024002
0.0,23,classical,0.26513728383107243,134.44803385413522
0.0,24,abstract,0.16865928773660557,106.02119591024002
0.0,24,classical,0.26513728383107243,134.44803385413522
0.0,25,abstract,0.16865928773660557,106.02119591024002
0.0,25,classical,0.26513728383107243,134.44803385413522
0.0,26,abstract,0.16865928773660557,106.02119591024002
0.0,26,classical,0.26513728383107243,134.44803385413522
